timeOnIce,goals,assists,plusMinus,powerPlayGoals,shots,hits,penaltyMinutes,points
992.8,0.6,0.4,-0.4,0.4,3.2,1.4,0.0,2.0
928.8,0.6,0.6,0.0,0.4,2.8,1.0,0.0,1.0
930.0,0.6,0.6,0.2,0.4,2.8,1.0,0.0,1.0
949.0,0.6,0.6,0.4,0.4,2.6,1.0,0.0,1.0
948.0,0.8,0.4,0.6,0.4,2.0,0.8,0.0,1.0
939.8,0.6,0.6,0.6,0.2,1.6,1.0,0.0,3.0
908.0,0.6,0.8,0.6,0.4,2.0,1.2,0.4,0.0
899.6,0.6,0.6,0.0,0.4,1.6,1.6,0.4,0.0
900.2,0.4,0.6,-0.2,0.2,1.6,1.6,0.4,1.0
938.0,0.2,0.8,-0.2,0.2,1.8,1.4,0.4,0.0
959.6,0.2,0.6,-0.4,0.2,2.0,1.0,0.4,1.0
996.4,0.2,0.2,-0.8,0.2,2.2,0.8,0.0,1.0
1013.2,0.4,0.2,-0.8,0.4,2.6,0.8,0.0,0.0
1002.2,0.4,0.2,-0.8,0.4,2.2,0.6,0.0,2.0
1015.0,0.4,0.4,-0.8,0.4,2.4,0.6,0.4,1.0
1002.2,0.4,0.6,0.0,0.4,2.4,0.6,0.4,1.0
1020.0,0.2,0.8,0.2,0.2,2.2,0.8,0.4,0.0
1046.0,0.0,0.8,0.8,0.0,2.2,0.6,0.4,2.0
1076.6,0.2,1.0,1.2,0.0,2.6,0.6,0.8,1.0
1017.6,0.2,0.8,1.4,0.0,2.0,0.4,0.4,0.0
1062.0,0.2,0.6,1.2,0.0,2.6,0.8,0.8,1.0
1090.8,0.4,0.4,0.8,0.2,2.8,0.8,0.8,0.0
1092.0,0.4,0.4,0.4,0.2,2.4,0.6,0.8,0.0
1035.2,0.2,0.2,0.2,0.2,2.0,0.6,0.4,1.0
1050.0,0.4,0.0,-0.2,0.2,2.8,0.6,0.4,1.0
1030.2,0.4,0.2,-0.6,0.2,2.6,0.2,0.0,1.0
1030.2,0.4,0.2,-0.2,0.0,2.0,0.0,0.0,1.0
977.4,0.6,0.2,0.2,0.0,2.2,0.4,0.0,0.0
974.4,0.6,0.2,0.0,0.0,2.2,0.4,0.0,1.0
966.4,0.6,0.2,0.0,0.2,2.4,0.6,0.0,2.0
960.2,0.6,0.4,0.4,0.2,2.8,0.6,0.0,0.0
920.2,0.4,0.4,0.2,0.2,2.6,0.6,0.4,0.0
967.2,0.2,0.4,0.2,0.2,3.0,0.2,0.4,0.0
974.0,0.2,0.4,0.4,0.2,3.2,0.2,0.4,1.0
1002.0,0.0,0.6,0.2,0.0,3.0,0.4,0.4,0.0
995.8,0.0,0.2,0.0,0.0,2.2,0.4,0.4,2.0
1016.4,0.0,0.6,0.2,0.0,2.2,0.8,0.0,0.0
994.0,0.0,0.6,-0.2,0.0,2.2,1.0,0.0,0.0
1034.0,0.0,0.6,-0.6,0.0,2.4,1.2,0.0,0.0
1059.0,0.0,0.4,-0.2,0.0,1.8,1.0,0.0,1.0
1049.4,0.0,0.6,-0.2,0.0,2.0,1.0,0.0,1.0
1050.2,0.2,0.2,-0.4,0.0,2.0,0.8,0.4,1.0
1081.8,0.2,0.4,0.0,0.0,1.6,0.6,0.8,0.0
1056.8,0.2,0.4,0.2,0.0,1.6,0.4,0.8,0.0
1008.2,0.2,0.4,0.0,0.0,1.8,0.6,1.2,2.0
1028.4,0.4,0.4,0.6,0.0,2.0,1.4,1.2,0.0
1074.4,0.2,0.4,0.6,0.0,2.4,1.2,0.8,0.0
1061.8,0.2,0.2,0.2,0.0,2.8,1.6,0.8,2.0
1064.2,0.4,0.4,0.8,0.2,2.6,1.6,0.8,2.0
1068.6,0.6,0.6,1.0,0.2,2.8,1.2,0.4,2.0
1065.4,0.6,0.6,0.6,0.2,2.8,0.6,0.4,0.0
1025.0,0.6,0.6,0.4,0.2,2.6,1.0,0.4,1.0
984.0,0.6,0.8,0.6,0.2,2.0,0.6,0.0,0.0
